ID	commun	community_type
GO:0045104	547	Inter
GO:0045103	547	Inter
GO:0034330	547	Inter
GO:0042303	547	Inter
GO:0042633	547	Inter
GO:0019886	575	Inter
GO:0002495	575	Inter
GO:0002504	575	Inter
GO:0002478	575	Inter
GO:0019884	575	Inter
GO:0048002	575	Inter
GO:0019882	575	Inter
GO:0002250	575	Inter
GO:0060333	575	Inter
GO:0071346	575	Inter
GO:0034341	575	Inter
GO:0050852	575	Inter
GO:0050851	575	Inter
GO:0002429	575	Inter
GO:0002768	575	Inter
GO:0002757	575	Inter
GO:0002764	575	Inter
GO:0002253	575	Inter
GO:0050671	575	Inter
GO:0032946	575	Inter
GO:0070665	575	Inter
GO:0050863	575	Inter
GO:0051249	575	Inter
GO:0050670	575	Inter
GO:0032944	575	Inter
GO:0050870	575	Inter
GO:0070663	575	Inter
GO:0042110	575	Inter
GO:1903039	575	Inter
GO:0002694	575	Inter
GO:0046651	575	Inter
GO:0032943	575	Inter
GO:0022409	575	Inter
GO:0050865	575	Inter
GO:0070661	575	Inter
GO:0042102	575	Inter
GO:0051251	575	Inter
GO:1903037	575	Inter
GO:0002696	575	Inter
GO:0050867	575	Inter
GO:0007159	575	Inter
GO:0002577	575	Inter
GO:0022407	575	Inter
GO:0042129	575	Inter
GO:0045785	575	Inter
GO:0042098	575	Inter
GO:0007156	621	Intra
GO:0098742	621	Intra
GO:0007156	129	Intra
GO:0098742	129	Intra
